Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1.971,1.783,1.407,33.746,0.933,1.884,133,169,34.992,1.473,1.267,0.789,0.951
1.351,1.623,1.06,14.771,0.867,1.685,186,162,15.945,1.122,1.531,0.653,0.927
1.101,1.58,0.888,149.132,0.759,1.669,243,153,146.31,1.035,1.78,0.562,0.896
1.762,1.973,1.137,16.385,0.84,2.006,348,165,22.62,1.195,1.735,0.576,0.943
13.533,4.477,3.849,150.831,0.826,4.834,387,158,151.39,4.129,1.163,0.86,0.97
1.09,1.406,0.986,1.69,0.823,1.537,459,162,17.526,1.003,1.426,0.701,0.92
2.745,1.969,1.775,135.764,0.917,2.055,512,156,145.713,1.801,1.109,0.902,0.946
0.822,1.393,0.751,15.037,0.818,1.419,569,161,22.38,0.795,1.854,0.539,0.914
1.351,1.641,1.049,35.559,0.878,1.669,623,167,33.69,1.091,1.564,0.639,0.928
1.387,1.632,1.083,119.443,0.865,1.734,682,151,110.854,1.173,1.507,0.663,0.928
0.542,0.979,0.705,159.723,0.864,1.072,735,152,149.744,0.767,1.389,0.72,0.924
1.316,1.912,0.876,140.986,0.746,2.025,785,152,139.635,0.928,2.183,0.458,0.915
1.727,1.616,1.36,7.35,0.882,1.669,894,165,33.69,1.366,1.188,0.842,0.94
20.546,7.53,3.474,37.024,0.718,7.63,915,215,28.379,3.468,2.168,0.461,0.967
0.762,1.188,0.816,178.771,0.91,1.22,1005,154,161.565,0.849,1.456,0.687,0.928
0.839,1.078,0.991,179.196,0.964,1.147,1060,155,160.346,1.003,1.088,0.919,0.931
0.839,1.087,0.983,2.677,0.964,1.147,1114,160,19.654,1.003,1.106,0.904,0.925
3.126,2.53,1.573,141.682,0.826,2.593,1163,157,143.471,1.637,1.609,0.622,0.944
3.126,2.527,1.575,141.928,0.8,2.579,1218,156,141.072,1.691,1.605,0.623,0.932
1.268,1.342,1.203,171.529,0.949,1.419,1276,155,157.62,1.235,1.115,0.897,0.936
1.292,1.345,1.223,170.443,0.946,1.391,1330,156,160.56,1.235,1.1,0.909,0.939
1.078,1.264,1.085,114.15,0.891,1.35,1443,153,120.964,1.157,1.165,0.859,0.912
28.709,7.016,5.21,62.362,0.837,7.173,1485,237,58.191,5.245,1.347,0.743,0.978
1.881,1.921,1.247,175.559,0.882,1.978,1544,157,159.444,1.235,1.541,0.649,0.952
0.554,1.035,0.681,33.064,0.9,1.113,1659,162,33.69,0.749,1.519,0.658,0.907
1.167,1.286,1.156,47.807,0.901,1.435,1712,166,36.254,1.208,1.113,0.899,0.927
2.697,2.141,1.604,40.717,0.877,2.184,1761,172,32.005,1.582,1.335,0.749,0.944
0.691,1.285,0.684,154.197,0.838,1.348,1820,153,156.371,0.759,1.878,0.532,0.899
0.5,0.891,0.714,154.964,0.992,0.967,1877,153,151.39,0.764,1.248,0.802,0.918
0.53,0.989,0.682,50.833,0.89,1.049,1931,161,36.027,0.749,1.449,0.69,0.881
0.566,1.02,0.706,148.028,0.919,1.072,1985,153,149.744,0.787,1.446,0.692,0.9
0.816,1.242,0.836,162.442,0.855,1.293,2146,155,162.646,0.926,1.484,0.674,0.901
0.679,1.316,0.656,7.882,0.811,1.367,2200,158,16.39,0.694,2.005,0.499,0.912
0.875,1.183,0.942,66.069,0.942,1.247,2259,166,68.199,1,1.256,0.796,0.925
0.589,0.973,0.772,131.541,0.958,1.049,2314,152,126.027,0.818,1.261,0.793,0.921
2.632,2.547,1.315,146.99,0.76,2.7,2357,154,149.036,1.449,1.937,0.516,0.932
0.625,1.065,0.747,62.178,0.884,1.139,2422,164,61.699,0.794,1.426,0.701,0.913
0.857,1.223,0.893,150.927,0.923,1.284,2473,153,147.265,0.963,1.369,0.73,0.92
0.667,1.096,0.775,44.33,0.867,1.157,2529,163,36.87,0.818,1.414,0.707,0.911
0.405,0.79,0.653,160.374,0.962,0.835,2585,152,146.31,0.69,1.209,0.827,0.901
2.971,2.508,1.509,155.821,0.819,2.594,2630,152,149.621,1.587,1.662,0.602,0.947
0.464,1.06,0.558,30.59,0.846,1.113,2692,160,33.69,0.621,1.899,0.527,0.886
0.572,0.935,0.779,90.059,0.911,1.006,2749,151,122.471,0.772,1.2,0.833,0.914
0.56,1.175,0.606,5.85,0.827,1.22,2799,158,18.435,0.617,1.938,0.516,0.913
0.804,1.248,0.82,2.365,0.875,1.293,2853,160,17.354,0.849,1.521,0.657,0.918
4.983,2.915,2.177,89.624,0.881,2.953,2960,188,70.145,2.083,1.339,0.747,0.964
0.661,1.258,0.669,3.87,0.821,1.293,3016,159,17.354,0.694,1.88,0.532,0.914
2.376,2.473,1.223,162.339,0.764,2.594,3063,155,157.249,1.307,2.023,0.494,0.936
1.304,1.298,1.279,102.132,0.954,1.391,3126,154,146.31,1.235,1.015,0.985,0.944
3.203,2.806,1.453,28.646,0.756,2.782,3172,174,33.69,1.513,1.93,0.518,0.92
0.667,1.042,0.815,127.556,0.932,1.113,3237,152,123.69,0.873,1.278,0.782,0.903
0.786,1.039,0.963,79.73,0.938,1.113,3292,164,56.31,0.926,1.079,0.927,0.92
3.763,2.519,1.902,36.575,0.893,2.628,3391,178,40.236,1.964,1.324,0.755,0.957
1.149,1.357,1.078,24.7,0.928,1.456,3451,163,32.005,1.146,1.258,0.795,0.932
5.186,2.819,2.342,2.949,0.891,2.906,3495,171,10.713,2.392,1.204,0.831,0.958
3.358,2.343,1.825,104.601,0.89,2.396,3566,151,104.931,1.846,1.284,0.779,0.954
3.9,2.808,1.768,154.608,0.814,2.889,3608,155,145.886,1.932,1.588,0.63,0.947
1.744,1.792,1.24,153.336,0.82,1.879,294,160,160.821,1.33,1.445,0.692,0.926
2.507,2.027,1.575,44.708,0.886,2.162,838,172,34.824,1.637,1.287,0.777,0.949
0.631,1.098,0.732,45.518,0.866,1.205,1388,164,50.194,0.818,1.5,0.667,0.93
1.488,1.798,1.054,167.759,0.835,1.879,1599,157,160.821,1.139,1.706,0.586,0.938
0.482,0.98,0.627,38.124,0.956,1.049,2040,161,36.027,0.655,1.563,0.64,0.926
1.459,1.788,1.039,1.977,0.864,1.816,2088,160,12.265,1.003,1.721,0.581,0.95
1.095,1.365,1.022,133.264,0.914,1.482,2909,152,128.66,1.091,1.336,0.749,0.936
0.816,1.227,0.847,33.215,0.855,1.35,3343,163,30.964,0.928,1.449,0.69,0.907
10.115,4.766,2.703,99.004,0.81,4.783,145,328,100.222,2.772,1.763,0.567,0.969
1.375,1.826,0.959,16.494,0.763,1.967,197,340,25.56,1.08,1.903,0.525,0.918
1.536,1.96,0.998,17.237,0.773,2.05,258,339,19.799,1.085,1.965,0.509,0.917
2.251,2.124,1.349,13.17,0.863,2.178,320,343,22.932,1.37,1.575,0.635,0.949
1.161,1.586,0.932,130.107,0.85,1.692,387,329,133.152,0.984,1.702,0.587,0.931
11.616,4.01,3.688,29.191,0.903,4.118,431,362,12.995,3.735,1.088,0.92,0.969
0.887,1.285,0.879,150.007,0.93,1.35,512,330,149.036,0.932,1.462,0.684,0.931
1.256,1.728,0.925,170.358,0.82,1.734,571,331,159.146,0.954,1.867,0.535,0.923
1.28,1.431,1.139,35.278,0.853,1.562,636,345,57.095,1.235,1.256,0.796,0.929
3.644,2.574,1.802,94.874,0.884,2.588,704,328,100.305,1.775,1.429,0.7,0.96
5.602,3.184,2.24,62.929,0.846,3.275,754,365,55.561,2.312,1.422,0.703,0.958
0.542,1.038,0.665,102.002,0.892,1.075,828,328,111.038,0.694,1.56,0.641,0.915
1.09,1.448,0.958,136.38,0.901,1.498,884,330,145.491,1.037,1.511,0.662,0.927
0.887,1.476,0.765,179.456,0.831,1.498,1007,332,168.111,0.772,1.929,0.518,0.928
0.834,1.107,0.959,17.133,0.947,1.198,1071,335,14.931,1.003,1.155,0.866,0.915
1.09,1.356,1.023,84.584,0.909,1.441,1139,346,74.476,1.003,1.326,0.754,0.936
1.887,1.824,1.318,145.319,0.822,1.947,1193,329,146.31,1.38,1.384,0.723,0.935
0.875,1.235,0.902,151.285,0.841,1.391,1257,329,146.31,0.992,1.368,0.731,0.907
0.75,1.074,0.889,148.312,0.959,1.178,1321,330,148.392,0.926,1.208,0.828,0.937
7.686,3.988,2.454,9.207,0.819,4.043,1364,354,13.241,2.514,1.625,0.615,0.962
0.923,1.543,0.761,179.522,0.77,1.628,1441,334,174.56,0.772,2.027,0.493,0.937
3.257,2.461,1.685,17.959,0.836,2.611,1498,350,18.97,1.775,1.461,0.685,0.959
0.78,1.1,0.902,115.145,0.862,1.198,1637,328,104.931,0.926,1.219,0.82,0.913
0.774,1.094,0.901,113.217,0.856,1.198,1699,328,104.931,0.926,1.214,0.824,0.909
1.715,1.78,1.227,86.184,0.885,1.816,1760,351,77.735,1.235,1.451,0.689,0.937
1.346,1.613,1.062,126.397,0.775,1.821,1816,328,126.384,1.139,1.519,0.658,0.917
1.34,1.449,1.177,89.304,0.951,1.516,1886,328,104.744,1.157,1.23,0.813,0.943
3.715,2.633,1.796,25.504,0.862,2.639,1932,346,15.255,1.794,1.466,0.682,0.948
0.869,1.149,0.963,179.657,0.961,1.22,2003,332,161.565,1.003,1.194,0.838,0.924
46.576,8.52,6.961,41.894,0.751,9.443,1995,369,11.31,7.67,1.224,0.817,0.95
0.673,1.081,0.792,3.668,0.886,1.123,2128,336,15.945,0.849,1.364,0.733,0.9
0.637,1.058,0.767,129.819,0.901,1.157,2191,329,143.13,0.854,1.379,0.725,0.915
1.143,1.348,1.08,162.572,0.903,1.391,2251,334,160.56,1.139,1.248,0.801,0.937
