 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.688,1.305,0.671,67.847,0.755,1.340,67,115,71.565,0.715,1.946,0.514,0.920
2,0.399,0.838,0.606,35.650,0.916,0.900,121,102,42.879,0.633,1.382,0.723,0.930
3,2.848,2.408,1.506,161.678,0.693,2.411,159,101,167.593,1.559,1.599,0.625,0.943
4,0.366,0.741,0.629,148.322,0.889,0.772,235,89,127.569,0.670,1.180,0.848,0.902
5,2.010,2.046,1.251,13.059,0.742,2.069,275,108,11.821,1.289,1.636,0.611,0.944
6,1.198,1.320,1.155,129.412,0.916,1.385,343,89,125.311,1.199,1.143,0.875,0.955
7,1.712,1.729,1.261,33.985,0.893,1.770,392,112,28.610,1.288,1.370,0.730,0.958
8,1.648,1.726,1.215,141.486,0.841,1.818,450,93,143.427,1.265,1.421,0.704,0.951
9,0.625,0.929,0.857,71.629,0.867,1.014,516,88,111.801,0.848,1.084,0.923,0.932
10,0.632,0.942,0.854,62.230,0.860,1.014,572,88,111.801,0.848,1.103,0.907,0.933
11,0.923,1.207,0.973,74.464,0.808,1.268,626,113,68.199,0.989,1.241,0.806,0.939
12,2.038,1.874,1.385,14.923,0.858,1.875,671,98,168.408,1.355,1.353,0.739,0.960
13,2.038,1.865,1.391,14.948,0.862,1.863,728,96,163.856,1.367,1.341,0.746,0.960
14,0.991,1.287,0.981,167.388,0.927,1.340,790,93,161.565,0.989,1.313,0.762,0.952
15,0.985,1.457,0.860,78.743,0.838,1.489,854,118,71.565,0.887,1.694,0.590,0.945
16,1.952,2.053,1.210,111.197,0.830,2.066,907,89,114.228,1.242,1.696,0.590,0.958
17,1.703,1.856,1.169,79.359,0.858,1.863,966,126,73.856,1.177,1.588,0.630,0.962
18,0.566,1.064,0.677,116.810,0.851,1.123,1021,89,123.024,0.730,1.573,0.636,0.931
19,0.849,1.322,0.818,22.894,0.842,1.373,1129,107,30.964,0.883,1.616,0.619,0.940
20,0.497,1.027,0.616,15.535,0.783,1.076,1187,101,23.199,0.655,1.669,0.599,0.920
21,0.854,1.159,0.938,109.085,0.908,1.191,1251,88,108.435,0.959,1.235,0.810,0.945
22,0.936,1.568,0.760,49.381,0.741,1.600,1297,115,42.614,0.809,2.063,0.485,0.928
23,1.852,2.007,1.175,16.927,0.816,2.026,1346,108,17.592,1.213,1.708,0.586,0.946
24,0.563,1.031,0.696,23.773,0.888,1.095,1412,102,25.463,0.739,1.482,0.675,0.937
25,1.224,1.715,0.909,21.244,0.772,1.787,1517,107,18.435,0.969,1.886,0.530,0.931
26,0.869,1.270,0.872,172.457,0.889,1.303,1578,94,167.471,0.895,1.456,0.687,0.943
