 ,Area,Mean,Min,Max
1,237.224,255,255,255
2,394.003,255,255,255
3,558.415,255,255,255
4,933.628,255,255,255
5,106.868,255,255,255
6,228.416,255,255,255
7,353.487,255,255,255
8,98.060,255,255,255
9,595.995,255,255,255
10,95.712,255,255,255
11,175.569,255,255,255
12,52.260,255,255,255
13,317.081,255,255,255
14,55.196,255,255,255
15,55.196,255,255,255
16,122.135,255,255,255
17,250.729,255,255,255
18,42.865,255,255,255
19,165.000,255,255,255
20,28.772,255,255,255
21,98.647,255,255,255
22,57.544,255,255,255
23,375.213,255,255,255
24,206.103,255,255,255
25,22.313,255,255,255
26,322.953,255,255,255
27,116.263,255,255,255
28,72.811,255,255,255
29,129.181,255,255,255
30,48.737,255,255,255
31,120.961,255,255,255
32,92.776,255,255,255
33,668.219,255,255,255
34,329.999,255,255,255
35,214.911,255,255,255
36,66.939,255,255,255
37,736.920,255,255,255
38,108.042,255,255,255
39,106.868,255,255,255
40,283.024,255,255,255
41,50.498,255,255,255
42,45.213,255,255,255
43,632.401,255,255,255
44,212.562,255,255,255
45,220.195,255,255,255
46,72.224,255,255,255
47,316.494,255,255,255
48,1361.100,255,255,255
49,183.202,255,255,255
50,115.676,255,255,255
51,1280.068,255,255,255
52,162.651,255,255,255
53,200.818,255,255,255
54,184.377,255,255,255
55,240.747,255,255,255
56,345.853,255,255,255
57,965.336,255,255,255
58,55.783,255,255,255
59,173.807,255,255,255
60,251.316,255,255,255
61,55.196,255,255,255
62,214.911,255,255,255
63,92.776,255,255,255
64,75.160,255,255,255
65,363.469,255,255,255
66,1197.862,255,255,255
67,79.857,255,255,255
68,276.565,255,255,255
69,78.096,255,255,255
70,122.135,255,255,255
71,143.274,255,255,255
72,17.616,255,255,255
73,28.772,255,255,255
74,3014.620,255,255,255
75,238.985,255,255,255
76,379.910,255,255,255
77,370.515,255,255,255
78,48.737,255,255,255
79,1495.566,255,255,255
80,534.340,255,255,255
81,8047.990,255,255,255
82,34.644,255,255,255
83,219.021,255,255,255
84,72.811,255,255,255
85,3493.765,255,255,255
86,93.950,255,255,255
87,210.213,255,255,255
88,99.822,255,255,255
89,197.882,255,255,255
90,166.761,255,255,255
91,106.868,255,255,255
92,772.151,255,255,255
93,32.295,255,255,255
94,4220.703,255,255,255
95,229.003,255,255,255
96,48.737,255,255,255
97,49.324,255,255,255
98,30.534,255,255,255
99,138.576,255,255,255
100,40.516,255,255,255
101,204.341,255,255,255
102,262.473,255,255,255
103,349.964,255,255,255
104,2241.881,255,255,255
105,666.458,255,255,255
106,143.274,255,255,255
107,314.732,255,255,255
108,66.352,255,255,255
109,36.993,255,255,255
110,212.562,255,255,255
111,39.342,255,255,255
112,38.167,255,255,255
113,227.241,255,255,255
114,679.963,255,255,255
115,484.430,255,255,255
116,48.737,255,255,255
117,119.786,255,255,255
118,409.857,255,255,255
119,93.950,255,255,255
120,64.591,255,255,255
121,1499.676,255,255,255
122,3359.886,255,255,255
123,154.430,255,255,255
124,91.601,255,255,255
125,1475.602,255,255,255
126,65.178,255,255,255
127,276.565,255,255,255
128,45.213,255,255,255
129,1231.332,255,255,255
130,136.815,255,255,255
131,38.754,255,255,255
132,55.196,255,255,255
133,42.277,255,255,255
134,545.497,255,255,255
135,42.277,255,255,255
136,327.651,255,255,255
137,725.764,255,255,255
138,81.032,255,255,255
139,2389.265,255,255,255
140,741.030,255,255,255
141,211.387,255,255,255
142,426.298,255,255,255
143,67.527,255,255,255
144,166.761,255,255,255
145,204.341,255,255,255
146,81.619,255,255,255
147,126.832,255,255,255
148,195.533,255,255,255
149,38.754,255,255,255
150,1492.043,255,255,255
151,85.142,255,255,255
152,1657.630,255,255,255
153,143.274,255,255,255
154,201.405,255,255,255
155,27.598,255,255,255
156,193.772,255,255,255
157,34.644,255,255,255
158,86.317,255,255,255
159,72.224,255,255,255
160,61.067,255,255,255
161,29.359,255,255,255
162,635.924,255,255,255
163,41.690,255,255,255
164,23520.963,255,255,255
165,13866.429,255,255,255
166,7531.852,255,255,255
167,21397.107,255,255,255
168,6465.520,255,255,255
169,7207.137,255,255,255
170,11600.473,255,255,255
171,9191.831,255,255,255
172,5701.002,255,255,255
173,9457.239,255,255,255
174,203.754,255,255,255
175,173.807,255,255,255
176,88.665,255,255,255
177,70.462,255,255,255
178,387.544,255,255,255
179,316.494,255,255,255
180,86.317,255,255,255
181,118.612,255,255,255
182,370.515,255,255,255
183,322.366,255,255,255
184,203.167,255,255,255
185,79.270,255,255,255
186,1925.974,255,255,255
187,1412.773,255,255,255
188,246.031,255,255,255
189,53.434,255,255,255
190,48.149,255,255,255
191,634.162,255,255,255
192,222.544,255,255,255
193,307.686,255,255,255
194,202.580,255,255,255
195,2643.517,255,255,255
196,421.013,255,255,255
197,125.071,255,255,255
198,321.779,255,255,255
199,58.132,255,255,255
200,342.917,255,255,255
201,171.459,255,255,255
202,467.988,255,255,255
203,423.949,255,255,255
204,89.840,255,255,255
205,2046.935,255,255,255
206,96.886,255,255,255
207,173.807,255,255,255
208,133.292,255,255,255
209,122.135,255,255,255
210,235.462,255,255,255
211,57.544,255,255,255
212,781.546,255,255,255
213,170.284,255,255,255
214,269.519,255,255,255
215,132.704,255,255,255
216,93.950,255,255,255
217,1770.957,255,255,255
218,88.078,255,255,255
219,121.548,255,255,255
220,494.999,255,255,255
221,95.712,255,255,255
222,58.719,255,255,255
223,137.989,255,255,255
224,86.904,255,255,255
225,169.110,255,255,255
226,60.480,255,255,255
227,94.537,255,255,255
228,229.590,255,255,255
229,4521.342,255,255,255
230,207.277,255,255,255
231,155.605,255,255,255
232,1877.825,255,255,255
233,389.305,255,255,255
234,156.779,255,255,255
235,161.477,255,255,255
236,63.416,255,255,255
237,118.025,255,255,255
238,3854.298,255,255,255
239,141.512,255,255,255
240,1914.231,255,255,255
241,4809.651,255,255,255
242,212.562,255,255,255
243,290.071,255,255,255
244,109.217,255,255,255
245,1991.739,255,255,255
246,114.502,255,255,255
247,463.291,255,255,255
248,61.067,255,255,255
249,280.088,255,255,255
250,41.103,255,255,255
251,59.306,255,255,255
252,121.548,255,255,255
253,75.160,255,255,255
254,1224.286,255,255,255
255,601.280,255,255,255
256,34.644,255,255,255
257,25.836,255,255,255
258,377.561,255,255,255
259,590.123,255,255,255
260,233.701,255,255,255
261,597.170,255,255,255
262,156.779,255,255,255
263,341.156,255,255,255
264,1237.791,255,255,255
265,268.932,255,255,255
266,728.699,255,255,255
267,227.829,255,255,255
268,201.405,255,255,255
269,261.886,255,255,255
270,313.558,255,255,255
271,910.140,255,255,255
272,140.338,255,255,255
273,2230.138,255,255,255
274,277.740,255,255,255
275,578.967,255,255,255
276,65.765,255,255,255
277,2060.440,255,255,255
278,67.527,255,255,255
279,1220.762,255,255,255
280,210.800,255,255,255
281,281.850,255,255,255
282,614.198,255,255,255
283,2236.009,255,255,255
284,66.939,255,255,255
285,2925.367,255,255,255
286,3881.308,255,255,255
287,64.003,255,255,255
288,103.932,255,255,255
289,54.608,255,255,255
290,2483.802,255,255,255
291,65.178,255,255,255
292,233.701,255,255,255
293,1726.331,255,255,255
294,217.259,255,255,255
295,248.380,255,255,255
296,68.114,255,255,255
297,79.857,255,255,255
298,143.274,255,255,255
299,989.411,255,255,255
300,115.089,255,255,255
301,89.252,255,255,255
302,950.069,255,255,255
303,181.441,255,255,255
304,586.600,255,255,255
305,232.526,255,255,255
306,93.950,255,255,255
307,178.505,255,255,255
308,293.594,255,255,255
309,111.566,255,255,255
310,322.366,255,255,255
311,1080.425,255,255,255
312,259.537,255,255,255
313,647.668,255,255,255
314,209.039,255,255,255
315,100.409,255,255,255
316,263.060,255,255,255
317,1662.915,255,255,255
318,145.622,255,255,255
319,89.840,255,255,255
320,73.986,255,255,255
321,31.708,255,255,255
322,72.224,255,255,255
323,795.052,255,255,255
324,84.555,255,255,255
325,1204.321,255,255,255
326,90.427,255,255,255
327,1278.307,255,255,255
328,31.708,255,255,255
329,316.494,255,255,255
