 ,Area,Mean,Min,Max
1,19.574,255,255,255
2,24.425,255,255,255
3,111.081,255,255,255
4,288.361,255,255,255
5,7.476,255,255,255
6,19.146,255,255,255
7,92.677,255,255,255
8,233.405,255,255,255
9,98.584,255,255,255
10,77.526,255,255,255
11,123.037,255,255,255
12,20.944,255,255,255
13,61.861,255,255,255
14,436.764,255,255,255
15,113.992,255,255,255
16,122.694,255,255,255
17,63.573,255,255,255
18,9.473,255,255,255
19,107.229,255,255,255
20,22.627,255,255,255
21,47.109,255,255,255
22,21.400,255,255,255
23,223.618,255,255,255
24,214.287,255,255,255
25,5613.330,255,255,255
26,385.175,255,255,255
27,31.786,255,255,255
28,582.114,255,255,255
29,27.307,255,255,255
30,50.419,255,255,255
31,27.221,255,255,255
32,13.696,255,255,255
33,10.672,255,255,255
34,698.816,255,255,255
35,18.147,255,255,255
36,11.813,255,255,255
37,26.251,255,255,255
38,44.484,255,255,255
39,19.774,255,255,255
40,45.568,255,255,255
41,22.798,255,255,255
42,17.862,255,255,255
43,198.480,255,255,255
44,17.006,255,255,255
45,15.522,255,255,255
46,426.920,255,255,255
47,24.225,255,255,255
48,28.419,255,255,255
49,35.524,255,255,255
50,101.922,255,255,255
51,754.257,255,255,255
52,66.455,255,255,255
53,27.078,255,255,255
54,113.050,255,255,255
55,48.593,255,255,255
56,81.720,255,255,255
57,8.332,255,255,255
58,10.786,255,255,255
59,9.930,255,255,255
60,12.812,255,255,255
61,23.369,255,255,255
62,12.669,255,255,255
63,14.267,255,255,255
64,21.543,255,255,255
65,565.907,255,255,255
66,13.639,255,255,255
67,42.857,255,255,255
68,92.221,255,255,255
69,193.087,255,255,255
70,244.419,255,255,255
71,100.124,255,255,255
72,147.376,255,255,255
73,5.307,255,255,255
74,19.260,255,255,255
75,65.114,255,255,255
76,9.273,255,255,255
77,65.570,255,255,255
78,489.123,255,255,255
79,19.374,255,255,255
80,512.806,255,255,255
81,467.152,255,255,255
82,129.485,255,255,255
83,5.022,255,255,255
84,60.291,255,255,255
85,29.932,255,255,255
86,10.101,255,255,255
87,13.325,255,255,255
88,475.199,255,255,255
89,417.789,255,255,255
